teacher_id,subject_id
T01,31901-2002
T01,30000-2002
T01,31900-0004
T01,31901-2007
T02,30000-1501
T03,31901-2006
T03,21906-2006
T03,31901-2005
T04,31901-2010
T04,31901-2009
T04,31900-1002
T04,31901-2012
T04,30000-2002
T05,31901-2009
T05,20901-2106
T06,30000-1202
T07,30000-2004
T07,20901-8503
T07,31901-2017
T07,31900-0001
T07,30001-1003
T07,31901-2012
T07,31900-1001
T07,30001-1003
T08,20901-9203
T08,31901-2013
T08,30000-2004
T08,20901-2009
T08,31901-2005
T09,30001-1001
T10,30000-1201
T11,30000-1404
T12,30001-1002
T13,30000-2002
T13,20901-2107
T13,20901-2408
T13,20901-2407
T15,20001-1003
T16,20000-1208
T17,20000-1402
T18,20901-2007
T18,20901-8503
T18,20000-2007
T18,20901-2406
T05,21901-2011
T18,21901-2010
T05,21901-2017
T05,21901-2011
T13,21901-2012
T18,21900-1004
